        #psi         z0.         z1.        z10.       z100.      z1000.     z10000.        z-1.       z-10.      z-100.     z-1000.    z-10000.
  678.31E-06    3.26E+00   -7.29E+03  -71.05E+03 -159.25E+03   -3.10E+03  -31.29E+00    7.29E+03   71.06E+03  159.26E+03    3.10E+03   31.29E+00
  707.65E-06    3.26E+00   -6.70E+03  -65.42E+03 -158.46E+03   -3.23E+03  -32.65E+00    6.70E+03   65.43E+03  158.47E+03    3.23E+03   32.65E+00
  738.25E-06    3.26E+00   -6.15E+03  -60.22E+03 -157.28E+03   -3.37E+03  -34.06E+00    6.16E+03   60.23E+03  157.28E+03    3.37E+03   34.06E+00
  770.17E-06    3.26E+00   -5.65E+03  -55.43E+03 -155.70E+03   -3.51E+03  -35.53E+00    5.66E+03   55.44E+03  155.70E+03    3.51E+03   35.53E+00
  803.48E-06    3.26E+00   -5.19E+03  -51.02E+03 -153.73E+03   -3.66E+03  -37.07E+00    5.20E+03   51.02E+03  153.73E+03    3.66E+03   37.07E+00
  838.22E-06    3.26E+00   -4.77E+03  -46.95E+03 -151.38E+03   -3.82E+03  -38.67E+00    4.78E+03   46.95E+03  151.39E+03    3.82E+03   38.67E+00
  874.47E-06    3.26E+00   -4.38E+03  -43.19E+03 -148.68E+03   -3.98E+03  -40.34E+00    4.39E+03   43.20E+03  148.68E+03    3.98E+03   40.34E+00
  912.29E-06    3.26E+00   -4.03E+03  -39.74E+03 -145.63E+03   -4.14E+03  -42.08E+00    4.03E+03   39.74E+03  145.63E+03    4.14E+03   42.08E+00
  951.74E-06    3.26E+00   -3.70E+03  -36.55E+03 -142.25E+03   -4.32E+03  -43.90E+00    3.71E+03   36.56E+03  142.26E+03    4.32E+03   43.90E+00
  992.89E-06    3.26E+00   -3.40E+03  -33.62E+03 -138.59E+03   -4.50E+03  -45.80E+00    3.41E+03   33.63E+03  138.60E+03    4.50E+03   45.80E+00
    1.04E-03    3.26E+00   -3.12E+03  -30.92E+03 -134.66E+03   -4.69E+03  -47.78E+00    3.13E+03   30.93E+03  134.67E+03    4.69E+03   47.78E+00
    1.08E-03    3.26E+00   -2.87E+03  -28.44E+03 -130.50E+03   -4.88E+03  -49.85E+00    2.88E+03   28.44E+03  130.51E+03    4.88E+03   49.85E+00
    1.13E-03    3.26E+00   -2.64E+03  -26.15E+03 -126.14E+03   -5.08E+03  -52.00E+00    2.64E+03   26.16E+03  126.14E+03    5.08E+03   52.00E+00
    1.18E-03    3.26E+00   -2.42E+03  -24.05E+03 -121.61E+03   -5.29E+03  -54.25E+00    2.43E+03   24.05E+03  121.62E+03    5.29E+03   54.25E+00
    1.23E-03    3.26E+00   -2.23E+03  -22.11E+03 -116.95E+03   -5.51E+03  -56.59E+00    2.23E+03   22.12E+03  116.96E+03    5.51E+03   56.59E+00
    1.28E-03    3.26E+00   -2.04E+03  -20.33E+03 -112.20E+03   -5.73E+03  -59.04E+00    2.05E+03   20.33E+03  112.21E+03    5.73E+03   59.04E+00
    1.34E-03    3.26E+00   -1.88E+03  -18.69E+03 -107.38E+03   -5.96E+03  -61.59E+00    1.88E+03   18.69E+03  107.39E+03    5.96E+03   61.59E+00
    1.39E-03    3.26E+00   -1.73E+03  -17.18E+03 -102.54E+03   -6.20E+03  -64.25E+00    1.73E+03   17.19E+03  102.54E+03    6.20E+03   64.25E+00
    1.45E-03    3.26E+00   -1.59E+03  -15.79E+03  -97.69E+03   -6.45E+03  -67.03E+00    1.59E+03   15.80E+03   97.70E+03    6.45E+03   67.03E+00
    1.52E-03    3.26E+00   -1.46E+03  -14.52E+03  -92.87E+03   -6.71E+03  -69.92E+00    1.46E+03   14.52E+03   92.88E+03    6.71E+03   69.92E+00
    1.58E-03    3.26E+00   -1.34E+03  -13.34E+03  -88.11E+03   -6.97E+03  -72.95E+00    1.34E+03   13.35E+03   88.12E+03    6.97E+03   72.95E+00
    1.65E-03    3.26E+00   -1.23E+03  -12.27E+03  -83.43E+03   -7.24E+03  -76.10E+00    1.24E+03   12.27E+03   83.43E+03    7.24E+03   76.10E+00
    1.72E-03    3.26E+00   -1.13E+03  -11.27E+03  -78.84E+03   -7.53E+03  -79.38E+00    1.14E+03   11.28E+03   78.85E+03    7.53E+03   79.38E+00
    1.80E-03    3.26E+00   -1.04E+03  -10.36E+03  -74.37E+03   -7.81E+03  -82.81E+00    1.04E+03   10.37E+03   74.38E+03    7.81E+03   82.81E+00
    1.87E-03    3.26E+00 -952.61E+00   -9.52E+03  -70.04E+03   -8.11E+03  -86.39E+00  959.13E+00    9.53E+03   70.05E+03    8.11E+03   86.39E+00
    1.95E-03    3.26E+00 -875.01E+00   -8.75E+03  -65.85E+03   -8.41E+03  -90.12E+00  881.53E+00    8.76E+03   65.85E+03    8.42E+03   90.12E+00
    2.04E-03    3.26E+00 -803.71E+00   -8.04E+03  -61.81E+03   -8.73E+03  -94.01E+00  810.23E+00    8.05E+03   61.82E+03    8.73E+03   94.01E+00
    2.13E-03    3.26E+00 -738.20E+00   -7.39E+03  -57.94E+03   -9.05E+03  -98.07E+00  744.71E+00    7.40E+03   57.95E+03    9.05E+03   98.07E+00
    2.22E-03    3.26E+00 -678.01E+00   -6.79E+03  -54.23E+03   -9.37E+03 -102.30E+00  684.52E+00    6.80E+03   54.24E+03    9.37E+03  102.30E+00
    2.32E-03    3.26E+00 -622.70E+00   -6.24E+03  -50.70E+03   -9.70E+03 -106.72E+00  629.21E+00    6.25E+03   50.70E+03    9.70E+03  106.72E+00
    2.42E-03    3.26E+00 -571.88E+00   -5.74E+03  -47.34E+03  -10.04E+03 -111.32E+00  578.40E+00    5.74E+03   47.34E+03   10.04E+03  111.32E+00
    2.52E-03    3.26E+00 -525.19E+00   -5.27E+03  -44.14E+03  -10.38E+03 -116.13E+00  531.70E+00    5.28E+03   44.15E+03   10.38E+03  116.13E+00
    2.63E-03    3.26E+00 -482.29E+00   -4.84E+03  -41.13E+03  -10.73E+03 -121.14E+00  488.80E+00    4.85E+03   41.13E+03   10.73E+03  121.14E+00
    2.74E-03    3.26E+00 -442.87E+00   -4.45E+03  -38.27E+03  -11.07E+03 -126.36E+00  449.39E+00    4.46E+03   38.28E+03   11.07E+03  126.36E+00
    2.86E-03    3.26E+00 -406.65E+00   -4.09E+03  -35.59E+03  -11.42E+03 -131.81E+00  413.17E+00    4.10E+03   35.59E+03   11.42E+03  131.81E+00
    2.98E-03    3.26E+00 -373.38E+00   -3.76E+03  -33.06E+03  -11.77E+03 -137.49E+00  379.89E+00    3.76E+03   33.07E+03   11.77E+03  137.49E+00
    3.11E-03    3.26E+00 -342.80E+00   -3.45E+03  -30.68E+03  -12.12E+03 -143.41E+00  349.31E+00    3.46E+03   30.69E+03   12.12E+03  143.42E+00
    3.25E-03    3.26E+00 -314.71E+00   -3.17E+03  -28.46E+03  -12.47E+03 -149.59E+00  321.22E+00    3.18E+03   28.47E+03   12.47E+03  149.59E+00
    3.39E-03    3.26E+00 -288.89E+00   -2.92E+03  -26.38E+03  -12.81E+03 -156.03E+00  295.40E+00    2.92E+03   26.38E+03   12.81E+03  156.04E+00
    3.54E-03    3.26E+00 -265.17E+00   -2.68E+03  -24.43E+03  -13.15E+03 -162.75E+00  271.69E+00    2.68E+03   24.44E+03   13.15E+03  162.75E+00
    3.69E-03    3.26E+00 -243.38E+00   -2.46E+03  -22.61E+03  -13.48E+03 -169.75E+00  249.89E+00    2.47E+03   22.62E+03   13.48E+03  169.76E+00
    3.85E-03    3.26E+00 -223.36E+00   -2.26E+03  -20.92E+03  -13.80E+03 -177.06E+00  229.87E+00    2.27E+03   20.93E+03   13.80E+03  177.06E+00
    4.01E-03    3.26E+00 -204.96E+00   -2.08E+03  -19.34E+03  -14.10E+03 -184.67E+00  211.47E+00    2.08E+03   19.35E+03   14.10E+03  184.67E+00
    4.19E-03    3.26E+00 -188.06E+00   -1.91E+03  -17.88E+03  -14.39E+03 -192.60E+00  194.57E+00    1.92E+03   17.88E+03   14.40E+03  192.60E+00
    4.37E-03    3.26E+00 -172.53E+00   -1.75E+03  -16.51E+03  -14.67E+03 -200.87E+00  179.04E+00    1.76E+03   16.52E+03   14.67E+03  200.88E+00
    4.56E-03    3.26E+00 -158.25E+00   -1.61E+03  -15.25E+03  -14.92E+03 -209.49E+00  164.77E+00    1.62E+03   15.26E+03   14.93E+03  209.50E+00
    4.76E-03    3.26E+00 -145.14E+00   -1.48E+03  -14.07E+03  -15.16E+03 -218.48E+00  151.66E+00    1.49E+03   14.08E+03   15.16E+03  218.48E+00
    4.96E-03    3.26E+00 -133.10E+00   -1.36E+03  -12.99E+03  -15.36E+03 -227.84E+00  139.61E+00    1.37E+03   12.99E+03   15.37E+03  227.85E+00
    5.18E-03    3.26E+00 -122.03E+00   -1.25E+03  -11.98E+03  -15.55E+03 -237.60E+00  128.54E+00    1.26E+03   11.98E+03   15.55E+03  237.60E+00
    5.40E-03    3.26E+00 -111.85E+00   -1.15E+03  -11.04E+03  -15.70E+03 -247.77E+00  118.37E+00    1.15E+03   11.05E+03   15.70E+03  247.77E+00
    5.63E-03    3.26E+00 -102.51E+00   -1.05E+03  -10.18E+03  -15.82E+03 -258.36E+00  109.02E+00    1.06E+03   10.19E+03   15.82E+03  258.36E+00
    5.88E-03    3.26E+00  -93.92E+00 -968.20E+00   -9.38E+03  -15.90E+03 -269.39E+00  100.44E+00  974.71E+00    9.39E+03   15.91E+03  269.40E+00
    6.13E-03    3.26E+00  -86.03E+00 -889.35E+00   -8.64E+03  -15.95E+03 -280.88E+00   92.55E+00  895.87E+00    8.65E+03   15.96E+03  280.89E+00
    6.40E-03    3.26E+00  -78.78E+00 -816.91E+00   -7.96E+03  -15.97E+03 -292.85E+00   85.30E+00  823.42E+00    7.97E+03   15.97E+03  292.86E+00
    6.67E-03    3.26E+00  -72.12E+00 -750.34E+00   -7.33E+03  -15.94E+03 -305.31E+00   78.64E+00  756.86E+00    7.34E+03   15.95E+03  305.32E+00
    6.96E-03    3.26E+00  -66.00E+00 -689.18E+00   -6.75E+03  -15.88E+03 -318.28E+00   72.52E+00  695.69E+00    6.76E+03   15.88E+03  318.29E+00
    7.26E-03    3.26E+00  -60.38E+00 -632.98E+00   -6.22E+03  -15.78E+03 -331.78E+00   66.89E+00  639.49E+00    6.22E+03   15.78E+03  331.79E+00
    7.58E-03    3.26E+00  -55.21E+00 -581.33E+00   -5.72E+03  -15.63E+03 -345.83E+00   61.73E+00  587.85E+00    5.73E+03   15.64E+03  345.84E+00
    7.90E-03    3.26E+00  -50.47E+00 -533.88E+00   -5.27E+03  -15.45E+03 -360.45E+00   56.98E+00  540.40E+00    5.27E+03   15.46E+03  360.46E+00
    8.25E-03    3.26E+00  -46.11E+00 -490.28E+00   -4.85E+03  -15.23E+03 -375.65E+00   52.62E+00  496.80E+00    4.85E+03   15.24E+03  375.67E+00
    8.60E-03    3.26E+00  -42.10E+00 -450.22E+00   -4.46E+03  -14.97E+03 -391.46E+00   48.61E+00  456.74E+00    4.47E+03   14.98E+03  391.49E+00
    8.97E-03    3.26E+00  -38.42E+00 -413.41E+00   -4.10E+03  -14.68E+03 -407.90E+00   44.93E+00  419.93E+00    4.11E+03   14.69E+03  407.93E+00
    9.36E-03    3.26E+00  -35.03E+00 -379.59E+00   -3.77E+03  -14.36E+03 -424.98E+00   41.55E+00  386.10E+00    3.78E+03   14.36E+03  425.01E+00
    9.77E-03    3.26E+00  -31.92E+00 -348.51E+00   -3.47E+03  -14.00E+03 -442.73E+00   38.44E+00  355.03E+00    3.48E+03   14.01E+03  442.76E+00
   10.19E-03    3.26E+00  -29.07E+00 -319.96E+00   -3.19E+03  -13.62E+03 -461.16E+00   35.58E+00  326.47E+00    3.20E+03   13.63E+03  461.20E+00
   10.63E-03    3.26E+00  -26.44E+00 -293.72E+00   -2.94E+03  -13.21E+03 -480.30E+00   32.96E+00  300.23E+00    2.94E+03   13.22E+03  480.34E+00
   11.09E-03    3.26E+00  -24.03E+00 -269.61E+00   -2.70E+03  -12.78E+03 -500.15E+00   30.55E+00  276.13E+00    2.71E+03   12.79E+03  500.20E+00
   11.57E-03    3.26E+00  -21.82E+00 -247.46E+00   -2.48E+03  -12.34E+03 -520.74E+00   28.33E+00  253.98E+00    2.49E+03   12.34E+03  520.80E+00
   12.07E-03    3.26E+00  -19.78E+00 -227.11E+00   -2.28E+03  -11.87E+03 -542.09E+00   26.29E+00  233.62E+00    2.29E+03   11.88E+03  542.15E+00
   12.59E-03    3.26E+00  -17.91E+00 -208.41E+00   -2.10E+03  -11.40E+03 -564.21E+00   24.42E+00  214.92E+00    2.10E+03   11.41E+03  564.27E+00
   13.14E-03    3.26E+00  -16.19E+00 -191.23E+00   -1.93E+03  -10.92E+03 -587.10E+00   22.71E+00  197.74E+00    1.93E+03   10.93E+03  587.18E+00
   13.70E-03    3.26E+00  -14.61E+00 -175.44E+00   -1.77E+03  -10.44E+03 -610.80E+00   21.13E+00  181.95E+00    1.78E+03   10.45E+03  610.89E+00
   14.30E-03    3.26E+00  -13.16E+00 -160.93E+00   -1.63E+03   -9.95E+03 -635.30E+00   19.68E+00  167.44E+00    1.64E+03    9.96E+03  635.39E+00
   14.91E-03    3.26E+00  -11.83E+00 -147.60E+00   -1.50E+03   -9.47E+03 -660.60E+00   18.34E+00  154.12E+00    1.50E+03    9.48E+03  660.72E+00
   15.56E-03    3.26E+00  -10.61E+00 -135.36E+00   -1.38E+03   -8.99E+03 -686.73E+00   17.12E+00  141.87E+00    1.38E+03    9.00E+03  686.86E+00
   16.23E-03    3.26E+00   -9.48E+00 -124.10E+00   -1.26E+03   -8.52E+03 -713.67E+00   15.99E+00  130.62E+00    1.27E+03    8.53E+03  713.81E+00
   16.93E-03    3.26E+00   -8.45E+00 -113.76E+00   -1.16E+03   -8.06E+03 -741.42E+00   14.96E+00  120.28E+00    1.17E+03    8.07E+03  741.58E+00
   17.67E-03    3.26E+00   -7.50E+00 -104.26E+00   -1.07E+03   -7.61E+03 -769.98E+00   14.01E+00  110.78E+00    1.07E+03    7.61E+03  770.16E+00
   18.43E-03    3.26E+00   -6.62E+00  -95.54E+00 -981.17E+00   -7.17E+03 -799.33E+00   13.14E+00  102.05E+00  987.70E+00    7.18E+03  799.53E+00
   19.23E-03    3.26E+00   -5.82E+00  -87.52E+00 -901.51E+00   -6.74E+03 -829.45E+00   12.33E+00   94.03E+00  908.04E+00    6.75E+03  829.68E+00
   20.06E-03    3.26E+00   -5.08E+00  -80.15E+00 -828.28E+00   -6.33E+03 -860.32E+00   11.60E+00   86.66E+00  834.81E+00    6.34E+03  860.58E+00
   20.93E-03    3.26E+00   -4.41E+00  -73.38E+00 -760.95E+00   -5.94E+03 -891.91E+00   10.92E+00   79.89E+00  767.48E+00    5.95E+03  892.20E+00
   21.83E-03    3.26E+00   -3.78E+00  -67.15E+00 -699.07E+00   -5.56E+03 -924.16E+00   10.30E+00   73.67E+00  705.60E+00    5.57E+03  924.49E+00
   22.78E-03    3.26E+00   -3.21E+00  -61.44E+00 -642.18E+00   -5.20E+03 -957.05E+00    9.73E+00   67.95E+00  648.71E+00    5.21E+03  957.42E+00
   23.76E-03    3.26E+00   -2.69E+00  -56.19E+00 -589.90E+00   -4.86E+03 -990.50E+00    9.20E+00   62.70E+00  596.42E+00    4.87E+03  990.91E+00
   24.79E-03    3.26E+00   -2.21E+00  -51.36E+00 -541.84E+00   -4.53E+03   -1.02E+03    8.72E+00   57.87E+00  548.36E+00    4.54E+03    1.02E+03
   25.86E-03    3.26E+00   -1.76E+00  -46.93E+00 -497.66E+00   -4.22E+03   -1.06E+03    8.27E+00   53.44E+00  504.19E+00    4.23E+03    1.06E+03
   26.98E-03    3.26E+00   -1.35E+00  -42.85E+00 -457.06E+00   -3.93E+03   -1.09E+03    7.87E+00   49.37E+00  463.59E+00    3.94E+03    1.09E+03
   28.14E-03    3.26E+00 -980.26E-03  -39.11E+00 -419.75E+00   -3.66E+03   -1.13E+03    7.49E+00   45.62E+00  426.27E+00    3.67E+03    1.13E+03
   29.36E-03    3.26E+00 -636.32E-03  -35.67E+00 -385.46E+00   -3.40E+03   -1.16E+03    7.15E+00   42.18E+00  391.98E+00    3.41E+03    1.16E+03
   30.63E-03    3.26E+00 -320.29E-03  -32.51E+00 -353.94E+00   -3.16E+03   -1.20E+03    6.83E+00   39.02E+00  360.46E+00    3.16E+03    1.20E+03
   31.96E-03    3.26E+00  -29.93E-03  -29.61E+00 -324.98E+00   -2.93E+03   -1.23E+03    6.54E+00   36.12E+00  331.50E+00    2.93E+03    1.23E+03
   33.34E-03    3.26E+00  236.87E-03  -26.94E+00 -298.36E+00   -2.71E+03   -1.27E+03    6.28E+00   33.45E+00  304.88E+00    2.72E+03    1.27E+03
   34.78E-03    3.26E+00  482.00E-03  -24.49E+00 -273.90E+00   -2.51E+03   -1.30E+03    6.03E+00   31.00E+00  280.41E+00    2.52E+03    1.30E+03
   36.28E-03    3.26E+00  707.24E-03  -22.23E+00 -251.42E+00   -2.33E+03   -1.33E+03    5.81E+00   28.75E+00  257.93E+00    2.33E+03    1.34E+03
   37.85E-03    3.26E+00  914.18E-03  -20.16E+00 -230.76E+00   -2.15E+03   -1.37E+03    5.60E+00   26.68E+00  237.28E+00    2.16E+03    1.37E+03
   39.49E-03    3.26E+00    1.10E+00  -18.26E+00 -211.77E+00   -1.99E+03   -1.40E+03    5.41E+00   24.78E+00  218.29E+00    2.00E+03    1.40E+03
   41.20E-03    3.26E+00    1.28E+00  -16.52E+00 -194.33E+00   -1.84E+03   -1.43E+03    5.23E+00   23.03E+00  200.85E+00    1.85E+03    1.43E+03
   42.98E-03    3.26E+00    1.44E+00  -14.91E+00 -178.30E+00   -1.70E+03   -1.46E+03    5.07E+00   21.42E+00  184.82E+00    1.71E+03    1.46E+03
   44.84E-03    3.26E+00    1.59E+00  -13.44E+00 -163.57E+00   -1.57E+03   -1.48E+03    4.93E+00   19.95E+00  170.09E+00    1.58E+03    1.48E+03
   46.78E-03    3.26E+00    1.72E+00  -12.08E+00 -150.03E+00   -1.45E+03   -1.51E+03    4.79E+00   18.59E+00  156.55E+00    1.46E+03    1.51E+03
   48.80E-03    3.26E+00    1.85E+00  -10.84E+00 -137.59E+00   -1.34E+03   -1.53E+03    4.67E+00   17.35E+00  144.11E+00    1.34E+03    1.53E+03
   50.91E-03    3.26E+00    1.96E+00   -9.69E+00 -126.16E+00   -1.23E+03   -1.55E+03    4.55E+00   16.20E+00  132.68E+00    1.24E+03    1.55E+03
   53.11E-03    3.26E+00    2.07E+00   -8.64E+00 -115.66E+00   -1.14E+03   -1.56E+03    4.45E+00   15.15E+00  122.18E+00    1.14E+03    1.57E+03
   55.41E-03    3.26E+00    2.16E+00   -7.67E+00 -106.01E+00   -1.05E+03   -1.58E+03    4.35E+00   14.19E+00  112.53E+00    1.05E+03    1.58E+03
   57.80E-03    3.26E+00    2.25E+00   -6.79E+00  -97.14E+00 -965.62E+00   -1.59E+03    4.26E+00   13.30E+00  103.66E+00  972.35E+00    1.59E+03
   60.30E-03    3.26E+00    2.33E+00   -5.97E+00  -89.00E+00 -889.53E+00   -1.59E+03    4.18E+00   12.48E+00   95.51E+00  896.24E+00    1.60E+03
   62.91E-03    3.26E+00    2.41E+00   -5.22E+00  -81.51E+00 -819.22E+00   -1.60E+03    4.10E+00   11.74E+00   88.02E+00  825.92E+00    1.60E+03
   65.63E-03    3.26E+00    2.48E+00   -4.53E+00  -74.63E+00 -754.30E+00   -1.59E+03    4.04E+00   11.05E+00   81.14E+00  760.98E+00    1.60E+03
   68.47E-03    3.26E+00    2.54E+00   -3.90E+00  -68.31E+00 -694.36E+00   -1.59E+03    3.97E+00   10.41E+00   74.82E+00  701.03E+00    1.59E+03
   71.43E-03    3.26E+00    2.60E+00   -3.32E+00  -62.50E+00 -639.05E+00   -1.58E+03    3.91E+00    9.83E+00   69.01E+00  645.71E+00    1.58E+03
   74.52E-03    3.26E+00    2.65E+00   -2.79E+00  -57.16E+00 -588.03E+00   -1.57E+03    3.86E+00    9.30E+00   63.68E+00  594.68E+00    1.57E+03
   77.74E-03    3.26E+00    2.70E+00   -2.30E+00  -52.26E+00 -540.98E+00   -1.55E+03    3.81E+00    8.81E+00   58.77E+00  547.61E+00    1.56E+03
   81.10E-03    3.26E+00    2.75E+00   -1.85E+00  -47.75E+00 -497.60E+00   -1.53E+03    3.77E+00    8.36E+00   54.27E+00  504.23E+00    1.54E+03
   84.61E-03    3.26E+00    2.79E+00   -1.43E+00  -43.61E+00 -457.62E+00   -1.51E+03    3.73E+00    7.94E+00   50.12E+00  464.24E+00    1.51E+03
   88.27E-03    3.26E+00    2.83E+00   -1.05E+00  -39.81E+00 -420.78E+00   -1.48E+03    3.69E+00    7.56E+00   46.32E+00  427.39E+00    1.48E+03
   92.09E-03    3.26E+00    2.86E+00 -701.03E-03  -36.31E+00 -386.84E+00   -1.45E+03    3.65E+00    7.21E+00   42.82E+00  393.44E+00    1.45E+03
   96.07E-03    3.26E+00    2.89E+00 -379.75E-03  -33.10E+00 -355.58E+00   -1.41E+03    3.62E+00    6.89E+00   39.61E+00  362.18E+00    1.42E+03
  100.22E-03    3.26E+00    2.92E+00  -84.56E-03  -30.15E+00 -326.80E+00   -1.37E+03    3.59E+00    6.60E+00   36.66E+00  333.39E+00    1.38E+03
  104.56E-03    3.26E+00    2.95E+00  186.67E-03  -27.44E+00 -300.30E+00   -1.33E+03    3.56E+00    6.33E+00   33.95E+00  306.88E+00    1.34E+03
  109.08E-03    3.26E+00    2.97E+00  435.88E-03  -24.95E+00 -275.91E+00   -1.29E+03    3.54E+00    6.08E+00   31.46E+00  282.48E+00    1.30E+03
  113.80E-03    3.26E+00    3.00E+00  664.86E-03  -22.66E+00 -253.45E+00   -1.25E+03    3.52E+00    5.85E+00   29.17E+00  260.03E+00    1.25E+03
  118.72E-03    3.26E+00    3.02E+00  875.25E-03  -20.55E+00 -232.79E+00   -1.20E+03    3.49E+00    5.64E+00   27.07E+00  239.36E+00    1.21E+03
  123.85E-03    3.26E+00    3.04E+00    1.07E+00  -18.62E+00 -213.78E+00   -1.16E+03    3.48E+00    5.44E+00   25.13E+00  220.34E+00    1.16E+03
  129.21E-03    3.26E+00    3.06E+00    1.25E+00  -16.84E+00 -196.29E+00   -1.11E+03    3.46E+00    5.27E+00   23.36E+00  202.84E+00    1.11E+03
  134.79E-03    3.26E+00    3.07E+00    1.41E+00  -15.21E+00 -180.19E+00   -1.06E+03    3.44E+00    5.10E+00   21.73E+00  186.75E+00    1.07E+03
  140.62E-03    3.26E+00    3.09E+00    1.56E+00  -13.71E+00 -165.39E+00   -1.01E+03    3.43E+00    4.95E+00   20.23E+00  171.94E+00    1.02E+03
  146.70E-03    3.26E+00    3.10E+00    1.70E+00  -12.34E+00 -151.78E+00 -962.58E+00    3.41E+00    4.82E+00   18.85E+00  158.33E+00  969.92E+00
  153.05E-03    3.26E+00    3.11E+00    1.82E+00  -11.07E+00 -139.26E+00 -914.48E+00    3.40E+00    4.69E+00   17.58E+00  145.80E+00  921.87E+00
  159.67E-03    3.26E+00    3.12E+00    1.94E+00   -9.91E+00 -127.74E+00 -866.99E+00    3.39E+00    4.57E+00   16.42E+00  134.28E+00  874.41E+00
  166.57E-03    3.26E+00    3.14E+00    2.05E+00   -8.84E+00 -117.15E+00 -820.35E+00    3.38E+00    4.47E+00   15.35E+00  123.69E+00  827.79E+00
  173.77E-03    3.26E+00    3.15E+00    2.15E+00   -7.86E+00 -107.42E+00 -774.74E+00    3.37E+00    4.37E+00   14.37E+00  113.95E+00  782.19E+00
  181.29E-03    3.26E+00    3.15E+00    2.24E+00   -6.95E+00  -98.46E+00 -730.34E+00    3.36E+00    4.28E+00   13.47E+00  105.00E+00  737.80E+00
  189.13E-03    3.26E+00    3.16E+00    2.32E+00   -6.13E+00  -90.23E+00 -687.30E+00    3.35E+00    4.19E+00   12.64E+00   96.77E+00  694.75E+00
  197.31E-03    3.26E+00    3.17E+00    2.39E+00   -5.36E+00  -82.67E+00 -645.74E+00    3.34E+00    4.12E+00   11.88E+00   89.20E+00  653.17E+00
  205.84E-03    3.26E+00    3.18E+00    2.46E+00   -4.66E+00  -75.71E+00 -605.74E+00    3.34E+00    4.05E+00   11.18E+00   82.24E+00  613.16E+00
  214.74E-03    3.26E+00    3.18E+00    2.53E+00   -4.02E+00  -69.32E+00 -567.39E+00    3.33E+00    3.98E+00   10.53E+00   75.85E+00  574.78E+00
  224.03E-03    3.26E+00    3.19E+00    2.59E+00   -3.43E+00  -63.44E+00 -530.72E+00    3.32E+00    3.92E+00    9.94E+00   69.97E+00  538.09E+00
  233.71E-03    3.26E+00    3.19E+00    2.64E+00   -2.89E+00  -58.04E+00 -495.76E+00    3.32E+00    3.87E+00    9.40E+00   64.56E+00  503.11E+00
  243.82E-03    3.26E+00    3.20E+00    2.69E+00   -2.39E+00  -53.07E+00 -462.54E+00    3.31E+00    3.82E+00    8.90E+00   59.60E+00  469.85E+00
  254.36E-03    3.26E+00    3.20E+00    2.74E+00   -1.93E+00  -48.51E+00 -431.03E+00    3.31E+00    3.78E+00    8.44E+00   55.03E+00  438.31E+00
  265.36E-03    3.26E+00    3.21E+00    2.78E+00   -1.51E+00  -44.31E+00 -401.22E+00    3.30E+00    3.73E+00    8.02E+00   50.84E+00  408.47E+00
  276.84E-03    3.26E+00    3.21E+00    2.82E+00   -1.12E+00  -40.46E+00 -373.09E+00    3.30E+00    3.69E+00    7.64E+00   46.98E+00  380.30E+00
  288.81E-03    3.26E+00    3.22E+00    2.85E+00 -766.76E-03  -36.91E+00 -346.59E+00    3.30E+00    3.66E+00    7.28E+00   43.43E+00  353.76E+00
  301.30E-03    3.26E+00    3.22E+00    2.89E+00 -440.15E-03  -33.66E+00 -321.67E+00    3.29E+00    3.63E+00    6.95E+00   40.18E+00  328.81E+00
  314.33E-03    3.26E+00    3.22E+00    2.92E+00 -140.06E-03  -30.66E+00 -298.29E+00    3.29E+00    3.60E+00    6.65E+00   37.18E+00  305.39E+00
  327.92E-03    3.26E+00    3.23E+00    2.94E+00  135.67E-03  -27.91E+00 -276.38E+00    3.29E+00    3.57E+00    6.38E+00   34.43E+00  283.44E+00
  342.10E-03    3.26E+00    3.23E+00    2.97E+00  389.02E-03  -25.38E+00 -255.87E+00    3.29E+00    3.54E+00    6.12E+00   31.90E+00  262.91E+00
  356.90E-03    3.26E+00    3.23E+00    2.99E+00  621.80E-03  -23.06E+00 -236.72E+00    3.28E+00    3.52E+00    5.89E+00   29.58E+00  243.72E+00
  372.33E-03    3.26E+00    3.23E+00    3.01E+00  835.68E-03  -20.93E+00 -218.85E+00    3.28E+00    3.50E+00    5.68E+00   27.45E+00  225.82E+00
  388.43E-03    3.26E+00    3.23E+00    3.03E+00    1.03E+00  -18.97E+00 -202.19E+00    3.28E+00    3.48E+00    5.48E+00   25.48E+00  209.13E+00
  405.23E-03    3.26E+00    3.24E+00    3.05E+00    1.21E+00  -17.16E+00 -186.69E+00    3.28E+00    3.46E+00    5.30E+00   23.68E+00  193.60E+00
  422.75E-03    3.26E+00    3.24E+00    3.07E+00    1.38E+00  -15.51E+00 -172.27E+00    3.28E+00    3.44E+00    5.13E+00   22.02E+00  179.15E+00
  441.04E-03    3.26E+00    3.24E+00    3.08E+00    1.53E+00  -13.98E+00 -158.87E+00    3.27E+00    3.43E+00    4.98E+00   20.50E+00  165.73E+00
  460.11E-03    3.26E+00    3.24E+00    3.10E+00    1.67E+00  -12.58E+00 -146.43E+00    3.27E+00    3.41E+00    4.84E+00   19.10E+00  153.27E+00
  480.00E-03    3.26E+00    3.24E+00    3.11E+00    1.80E+00  -11.30E+00 -134.90E+00    3.27E+00    3.40E+00    4.71E+00   17.82E+00  141.71E+00
